Date,Open,High,Low,Close,Adj Close,Volume
2015-02-18,17.961399,18.176300,17.674900,17.741100,14.216989,130680
2015-02-19,17.625299,17.989000,17.614300,17.895300,14.340557,84942
2015-02-20,17.851200,18.104700,17.630800,17.906300,14.349372,178233
2015-02-23,17.906300,18.154301,17.823700,18.154301,14.548109,75141
2015-02-24,18.154301,18.236900,17.757601,18.170799,14.561332,229779
2015-02-25,17.983500,18.247900,17.906300,18.181801,14.570149,142296
2015-02-26,18.121201,18.347099,18.071600,18.281000,14.649646,97829
2015-02-27,18.292000,18.661200,17.955900,18.033100,14.450987,537603
2015-03-02,18.049601,18.154301,17.928400,17.961399,14.405511,123965
2015-03-03,18.060600,18.292000,18.044100,18.148800,14.555819,229235
2015-03-04,18.099199,18.330601,18.011000,18.214899,14.608829,280236
2015-03-05,18.286501,18.286501,17.834700,18.159800,14.564631,90206
2015-03-06,18.176300,18.176300,17.322300,17.708000,14.202282,296027
2015-03-09,17.625299,17.625299,16.997200,17.300301,13.875296,194024
2015-03-10,17.289301,17.289301,16.749300,16.749300,13.433372,228146
2015-03-11,16.782400,17.443501,16.782400,17.190100,13.786908,190575
2015-03-12,17.294800,17.531700,17.167999,17.294800,13.870880,226694
2015-03-13,17.245199,17.245199,16.837500,17.245199,13.831100,100733
2015-03-16,17.079901,17.575800,16.964199,17.371901,13.932714,1623881
2015-03-17,17.322300,17.741100,17.322300,17.741100,14.228830,120879
2015-03-18,17.697001,18.209400,17.597799,18.104700,14.520439,297479
2015-03-19,18.055099,18.165300,17.851200,17.950399,14.396693,154820
2015-03-20,18.066099,18.451799,18.016500,18.016500,14.449703,568821
2015-03-23,17.961399,18.071600,17.796101,17.906300,14.361314,168432
2015-03-24,18.011000,18.154301,17.779600,17.807199,14.281842,85305
2015-03-25,17.906300,18.203899,17.763100,17.807199,14.281842,91839
2015-03-26,17.807199,17.807199,17.355400,17.603300,14.118301,82038
2015-03-27,17.614300,17.746599,17.278200,17.581301,14.100663,624179
2015-03-30,17.586800,17.906300,17.570200,17.906300,14.361314,83853
2015-03-31,17.741100,18.033100,17.652901,17.730000,14.219919,338679
2015-04-01,17.933901,18.506901,17.922899,18.236900,14.638853,596228
2015-04-02,18.286501,18.644600,18.286501,18.435301,14.798115,158268
2015-04-06,18.567499,18.809900,18.556499,18.732800,15.036921,112530
2015-04-07,18.716200,18.826500,18.617100,18.820900,15.107630,159720
2015-04-08,18.887100,19.167999,18.765800,18.898100,15.169599,132314
2015-04-09,18.898100,18.898100,18.534401,18.843000,15.125377,198380
2015-04-10,18.782400,18.875999,18.534401,18.611601,14.939635,204006
2015-04-13,18.611601,18.699699,18.457300,18.617100,14.944040,152823
2015-04-14,18.644600,18.732800,18.446301,18.633600,14.957290,99462
2015-04-15,18.661200,18.892599,18.517900,18.683201,14.997097,101459
2015-04-16,18.820900,18.892599,18.606100,18.804399,15.094388,81857
2015-04-17,18.727301,18.743799,18.363600,18.683201,14.997097,130136
2015-04-20,18.556499,18.666700,18.214899,18.319599,14.705233,271343
2015-04-22,18.330601,18.815399,18.236900,18.710699,15.019176,100733
2015-04-23,18.539900,19.101900,18.517900,19.074400,15.311114,158631
2015-04-24,18.980700,19.796101,18.980700,19.537201,15.682611,837623
2015-04-27,19.493099,19.652901,19.030300,19.030300,15.275722,503844
2015-04-28,19.190100,19.316799,18.859501,19.173500,15.390668,181319
2015-04-29,19.217600,19.267200,18.953199,19.030300,15.275722,148830
2015-04-30,19.019300,19.173500,18.936600,19.112900,15.342016,116523
2015-05-04,19.184601,19.697001,19.184601,19.559200,15.712605,194205
2015-05-05,19.559200,19.697001,19.283800,19.448999,15.624076,334142
2015-05-06,19.559200,19.680401,18.804399,19.173500,15.402745,359007
2015-05-07,18.980700,19.167999,18.743799,19.090900,15.336402,125054
2015-05-08,19.063400,19.608801,18.776899,19.559200,15.712605,209814
2015-05-11,19.504101,19.515200,19.217600,19.217600,15.438187,67518
2015-05-12,19.167999,19.228600,18.925600,19.223101,15.442602,99281
2015-05-13,19.112900,19.234200,19.008301,19.201099,15.424932,720555
2015-05-14,19.201099,19.476601,19.201099,19.283800,15.491359,77319
2015-05-15,19.278200,19.641899,19.278200,19.641899,15.779034,193116
2015-05-18,19.663900,19.663900,19.294800,19.344400,15.540047,560654
2015-05-19,19.427000,19.559200,18.787901,19.118500,15.358578,382965
2015-05-20,18.986200,19.063400,18.754801,18.931101,15.208028,389136
2015-05-21,18.743799,18.754801,18.484800,18.589500,14.933611,1082285
2015-05-22,18.600500,18.600500,18.253401,18.424200,14.800820,63162
2015-05-25,18.341600,18.418699,18.060600,18.358101,14.747714,125598
2015-05-26,18.358101,18.358101,18.033100,18.033100,14.486632,40656
2015-05-27,18.044100,18.396700,17.796101,18.319599,14.716782,87483
2015-05-28,18.055099,18.242399,17.944901,18.165300,14.592832,54632
2015-05-29,18.088200,18.099199,17.774099,17.884300,14.367095,55176
2015-06-01,17.823700,17.851200,17.537201,17.537201,14.100085,164984
2015-06-02,17.785101,18.082600,17.674900,17.955900,14.436717,60440
2015-06-03,17.906300,18.011000,17.630800,17.757601,14.277287,107993
2015-06-05,17.597799,17.702499,17.382900,17.520700,14.086818,86939
2015-06-08,17.680401,17.697001,17.388399,17.438000,14.020323,72056
2015-06-09,17.410500,17.537201,17.267200,17.294800,13.905186,38660
2015-06-10,17.465599,17.741100,17.465599,17.713499,14.241828,42290
